Date,Symbol,Company,Open,DayHigh,DayLow,LastPrice,PreviousClose,Change,PChange,Volume
2025-11-16,JSWSTEEL,JSWSTEELEQN,1182.1,1182.9,1159.0,1169.2,1183.9,-14.7,-1.24,1059030.0
2025-11-16,TMPV,TMPVEQN,397.95,399.6,387.3,392.9,397.95,-5.05,-1.27,21834850.0
2025-11-16,HDFCLIFE,HDFCLIFEEQN,779.0,780.3,769.5,772.3,782.2,-9.9,-1.27,1373199.0
2025-11-16,TATASTEEL,TATASTEELEQN,177.52,177.7,172.12,174.0,176.65,-2.65,-1.5,38345500.0
2025-11-16,EICHERMOT,EICHERMOTEQN,6799.0,6850.0,6670.0,6699.5,6855.0,-155.5,-2.27,739163.0
2025-11-16,INFY,INFYEQN,1520.0,1530.0,1488.8,1505.8,1541.8,-36.0,-2.33,9739549.0
2025-11-17,NIFTY 50,NIFTY 50,25948.2,26024.2,25906.35,26013.45,25910.05,103.40000000000146,0.4,
2025-11-17,ETERNAL,ETERNALEQN,303.1,309.85,300.55,309.6,303.75,5.85,1.93,26622945.0
2025-11-17,TATACONSUM,TATACONSUMEQN,1166.0,1182.8,1158.0,1179.0,1157.8,21.2,1.83,2105312.0
2025-11-17,MAXHEALTH,MAXHEALTHEQN,1105.0,1124.8,1091.7,1122.2,1103.1,19.1,1.73,5102010.0
2025-11-17,EICHERMOT,EICHERMOTEQN,6730.0,6809.0,6675.0,6809.0,6695.0,114.0,1.7,789628.0
2025-11-17,MARUTI,MARUTIEQN,15689.0,15892.0,15655.0,15889.0,15684.0,205.0,1.31,301054.0
2025-11-17,BAJAJ-AUTO,BAJAJ-AUTOEQN,8850.0,9025.0,8850.0,8949.0,8843.0,106.0,1.2,457847.0
2025-11-17,KOTAKBANK,KOTAKBANKEQN,2095.0,2119.9,2092.4,2103.0,2079.7,23.3,1.12,5028767.0
2025-11-17,ADANIENT,ADANIENTEQN,2460.0,2474.9,2421.0,2466.8,2516.8,26.8,1.1,2672449.0
2025-11-17,SHRIRAMFIN,SHRIRAMFINEQN,809.0,828.35,808.6,817.55,809.3,8.25,1.02,7386284.0
2025-11-17,TECHM,TECHMEQN,1440.0,1455.9,1438.3,1452.8,1439.2,13.6,0.94,999335.0
